region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mwanza,Ilemela Mc,114353-6,SAYONA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Kwimba Dc,114351-0,UTULIVU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kagera,Bukoba Dc,114349-4,AL ABBAS DENTAL,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Kagera,Bukoba Dc,114348-6,MFH,Hospital at Regional Level,Hospitali ya Mkoa (Rufaa),Private,Company/Business Name,Operating
Ruvuma,Songea Dc,114345-2,MSAMALA MUSLIM,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Manyara,Mbulu Dc,114344-5,MONGO WA MONO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,114343-7,GEREZA MAJIMAJI,Dispensary,Zahanati (Dispensary),Public,Prisons,Operating
Mwanza,Misungwi Dc,114342-9,MAMAYE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Mtwara Dc,114338-7,KILAMBO,Health Center,Kituo cha Afya,Public,LGA,Operating
Njombe,Makambako Tc,114337-9,LYAMKENA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,114335-3,TANDALE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Malinyi Dc,114333-8,SHALLOM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,114331-2,OBAMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114330-4,RASHID,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbeya Cc,114329-6,SONGWE VIWANDANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibaha Dc,114327-0,NEKANA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Kilosa Dc,114326-2,ASC,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ulanga Dc,114325-4,ST.CHALE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114324-7,RIKA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Same Dc,114322-1,MTII,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,114321-3,REHOBOTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,114320-5,MNEMELE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,114319-7,MTENDO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114318-9,AFRI SALASALA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114317-1,LUOGA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114315-5,XNJOVU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,114314-8,MAPUNDA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,114311-4,LWENA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114310-6,AMODO MORDEN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbeya Cc,114309-8,SHITETE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,114308-0,MUVWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,114307-2,WAMBISHE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,114306-4,MBUKE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,114305-6,RM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114304-9,MICO UFALME,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Bagamoyo Dc,114303-1,HAKIKA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,114301-5,K.B.J,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Bagamoyo Dc,114299-1,FACGBF,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,114297-5,OROTHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114296-7,BRICKLINE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,114294-2,MWAJUMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,114293-4,MAWASILIANO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,114292-6,VENI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,114291-8,FLOWER,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,114286-8,HAPPY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,114285-0,TAHERI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,114283-5,UPENDO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,114282-7,MUHOLA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114281-9,LUGULI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114280-1,CHANIKA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114279-3,BRIGTHT,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114278-5,THE SON OF MERCY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114277-7,MSOKI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114275-1,M&amp;M,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,114273-6,TWINS,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Mvomero Dc,114270-2,MGUDENI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,114269-4,KIURE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ulanga Dc,114268-6,KISORERO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,114267-8,SHEKEMU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Chalinze Dc,114266-0,HAROUB,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,114264-5,TAHFIFU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Bagamoyo Dc,114261-1,TANZANITE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,114260-3,TUMAINI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114259-5,MCH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,114255-3,DM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,114254-6,TUMANYENE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114251-2,SALMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114250-4,MUGISHAGWE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,114247-0,JS,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Meru Dc,114246-2,KANDASHE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,114244-7,KASALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,114243-9,KYANGALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,114242-1,MWAMBUSYE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Manyoni Dc,114241-3,DEFTA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114236-3,UPENDO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114235-5,TRUST,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114234-8,AFYA CHECK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114233-0,ALPHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114231-4,NIKHIL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114230-6,BABEL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114229-8,TRACY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114228-0,TUMAINI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Singida,Iramba Dc,114226-4,NTUMANI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Singida,Iramba Dc,114225-6,AMINA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114224-9,NDAJILO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114223-1,QUALITY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114222-3,SUNCLARA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114220-7,MUDDY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Kongwa Dc,114219-9,GOOD HOPE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,114217-3,ZION,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mtwara,Masasi Dc,114215-7,MAJENGO OPTICAL,Optometry Clinic,Kliniki,Private,For Profit,Operating
Singida,Singida Dc,114214-0,ONESMO ONE OPTICAL CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Njombe,Njombe Dc,114211-6,AMANI INTERNATIONAL OPTICAL CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Misungwi Dc,114208-2,ISENENGEJA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114207-4,Mwagimagi,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114206-6,LUTALUTALE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114204-1,NG&#039;HAMVE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114201-7,SONGIWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114199-3,MWAMAGUHWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Mafinga Tc,114198-5,STANDARD EYE CARE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Mbeya,Mbeya Cc,114196-9,MBEYA,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,114195-1,TEMEKE VISION CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114194-4,MAJEY SMART VISION,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114193-6,DOHA,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,114191-0,LIFE TIME EYE CARE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,114190-2,OPTICAL CENTRE (T)LTD MBAGALA BRCH,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114189-4,HAKIKA EYE CARE CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114188-6,ZOOM EYE CARE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114187-8,KINYEREZI EYE CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,114186-0,INSIGHT VISION CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Geita,Geita Dc,114185-2,DRL HEALTH CARE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114184-5,SHREE HINDU MANDAL,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114183-7,MAGOMENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Temeke Mc,114182-9,ZULU,Diagnostic Centre,Kingine,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,114181-1,STELLA HEALTH,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,114178-7,DAN,Medical Clinic,Kliniki,Private,For Profit,Operating
Morogoro,Ifakara Tc,114177-9,KILAMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Ifakara Tc,114174-6,MAHUTANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Ifakara Tc,114173-8,IHANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Ifakara Tc,114172-0,LIPANGALALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Longido Dc,114170-4,KETUMBEINE,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Temeke Mc,114167-0,TANDIKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Temeke Mc,114165-4,MIBURANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kisarawe Dc,114164-7,KWALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Muleba Dc,114163-9,MAISHA MEMA,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Morogoro,Mvomero Dc,114161-3,MISENGERE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Mvomero Dc,114160-5,KIDUDWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Mvomero Dc,114159-7,MANYINGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Mvomero Dc,114158-9,KUNKE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114156-3,MWAMBANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114155-5,MANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114154-8,ITIZIRO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114152-2,ILASILO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Gairo Dc,114150-6,LUFIKIRI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Gairo Dc,114149-8,MOGOHIGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Gairo Dc,114147-2,LUHWAJI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114146-4,KWIMBA,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Gairo Dc,114145-6,Gairo,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Morogoro,Mvomero Dc,114143-1,MAGUNGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Mvomero Dc,114142-3,DIFINGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,114141-5,Igoji kusini,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,114140-7,MVUMI,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Kilosa Dc,114137-3,CHABI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,114135-7,MKUNG&#039;HULU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,114132-4,MKUNDI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114127-4,NG&#039;HOBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Mbozi Dc,114126-6,ISOWEZYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Mbozi Dc,114125-8,NSENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,114115-9,Shilalo,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Mbozi Dc,114114-2,SHIWINGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Songwe Dc,114108-4,HURUMA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Songwe,Songwe Dc,114107-6,GENESIS,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Morogoro,Gairo Dc,114106-8,MOFU,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Gairo Dc,114105-0,MGUGWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Gairo Dc,114104-3,LUFULU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,114103-5,JUPITER OBS/GYN,Specialised Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,114099-5,MAKUMBUSHO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,114097-9,ST. MARTIN DEPORES,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mbeya,Mbeya Cc,114096-1,MBEYA TBL,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,114095-3,DOCTORS COMMUNITY,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,114094-6,MUJE LOW VISON,Optometry Clinic,Kliniki,Private,For Profit,Operating
Njombe,Njombe Dc,114093-8,WELELA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,114092-0,ILENGITITU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,114091-2,NYAVE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,114089-6,KITOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,114088-8,EL-SHADAI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Rukwa,Sumbawanga Dc,114087-0,SUMBAWANGA SPECIALIZED,Specialised Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Ilemela Mc,114085-4,ROYAL,Hospital at District Level,Hospitali ya Wilaya,Private,For Profit,Operating
Mwanza,Ilemela Mc,114083-9,BUSWELU,Health Center,Kituo cha Afya,Public,LGA,Operating
Mwanza,Ilemela Mc,114082-1,ADONAI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Songwe,Mbozi Dc,114081-3,UPENDO,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Same Dc,114080-5,MWALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Mufindi Dc,114079-7,SIMBALIKAMBAKO,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,114078-9,TARIC,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,114077-1,ST ELIZABETH,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Njombe,Makambako Tc,114076-3,Makambako TC,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Coast,Chalinze Dc,114074-8,MAMA FATUMA,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Tabora,Nzega Dc,114073-0,ELINI,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,114072-2,JOY LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Same Dc,114070-6,VUGWAMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Mbozi Dc,114069-8,ITAKA JKT,Health Center,Kituo cha Afya,Public,Military,Operating
Arusha,Monduli Dc,114068-0,KILIMATINDE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Monduli Dc,114067-2,NANJA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Monduli Dc,114066-4,MESERAN BWAWANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Ngorongoro Dc,114065-6,KISANGIRO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Ngorongoro Dc,114064-9,TINAGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Ngorongoro Dc,114063-1,ENGUSEROSAMBU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Ngorongoro Dc,114062-3,ARASH,Health Center,Kituo cha Afya,Public,LGA,Operating
Iringa,Kilolo Dc,114061-5,KILOLO,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Singida,Mkalama Dc,114060-7,ILUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,114057-3,ISITU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,114054-0,NJOMBE,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Njombe,Makambako Tc,114053-2,Kilimahewa,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makambako Tc,114052-4,KITISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makambako Tc,114051-6,Ibatu,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,114049-0,DIVINE,Health Center,Kituo cha Afya,Private,Company/Business Name,Operating
Manyara,Mbulu Dc,114048-2,MBULU DISTRICT COUNCIL,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Manyara,Babati Dc,114047-4,Mutuka,Health Center,Kituo cha Afya,Public,LGA,Operating
Kigoma,Kasulu Dc,114046-6,KASULU,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Tabora,Nzega Dc,114044-1,NHOBOLA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,114040-9,HISANI,Hospital at District Level,Hospitali ya Wilaya,Private,Company/Business Name,Operating
Coast,Bagamoyo Dc,114039-1,CARAVAN HEALTH CARE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Singida,Singida Dc,114037-5,MUGHANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Singida Dc,114036-7,UGHANDI B,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Chunya Dc,114030-0,MTANDE,Health Center,Kituo cha Afya,Public,LGA,Operating
Mbeya,Rungwe Dc,114028-4,NEW KIWIRA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mbeya,Rungwe Dc,114027-6,ISONGOLE,Health Center,Kituo cha Afya,Public,LGA,Operating
Mbeya,Chunya Dc,114026-8,ITUMBI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Shinyanga,Ushetu Dc,114024-3,USHETU,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Kilimanjaro,Moshi Dc,114023-5,KITOWO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Temeke Mc,114022-7,AGA KHAN YOMBO VITUKA,PolyClinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Temeke Mc,114021-9,OPRAH,Health Center,Kituo cha Afya,Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,114020-1,HOSSANA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Mwanza,Kwimba Dc,114017-7,NGUZO NANE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dodoma,Chemba Dc,114015-1,CHEMBA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Dar Es Salaam,Ubungo Mc,114014-4,SPARTIAL HEALTH,Specialized Polyclinic,Kliniki,Private,For Profit,Operating
Morogoro,Gairo Dc,114013-6,TANGANYIKA RURAL,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Gairo Dc,114012-8,VIWANJASITINI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kondoa Dc,114009-4,HACHWI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Tunduma Tc,114008-6,JOY,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mara,Musoma Dc,114007-8,MUSOMA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Morogoro,Kilosa Dc,114006-0,Dodoma Isanga,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Katavi,Mlele Dc,114004-5,TANGANYIKA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Tabora,Igunga Dc,114003-7,UYUI,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Morogoro,Gairo Dc,114002-9,MARY,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Tanga,Handeni Dc,114001-1,MSASA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Rombo Dc,114000-3,COGI MAMSERA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Kagera,Biharamulo Dc,113998-9,RUPENDA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
