region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Arusha,Arusha Cc,121091-3,DARAJA MBILI,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Kilimanjaro,Moshi Dc,121090-5,PARAMOUNT,Diagnostic Centre,Kingine,Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,121089-7,FAMILY CARE,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121088-9,REHMTULLA,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121087-1,MICO MSONGOLA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,121086-3,BERNICE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121085-5,Bahari Dental Clinic,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Mara,Tarime Dc,121084-8,IMMACULATE HEART SISTERS KITENGA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Kinondoni Mc,121083-0,LAFORTIS,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kigoma,Kigoma Dc,121082-2,SHANGWE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Shinyanga,Kahama Tc,121081-4,MUSCAT,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Kagera,Biharamulo Dc,121080-6,KISUMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,121079-8,JULIUS NYERERE HYDROPOWER PROJECT,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Kilimanjaro,Hai Dc,121078-0,BARIKIWA,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Morogoro,Morogoro Dc,121077-2,KISEMU,Health Center,Kituo cha Afya,Public,LGA,Operating
Simiyu,Bariadi Dc,121076-4,POLICE,Dispensary,Zahanati (Dispensary),Public,Police,Operating
Tabora,Kaliua Dc,121075-6,USIMBA II,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Butiama Dc,121074-9,FAMILY,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,121073-1,JAJA FAMILY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,121072-3,NEW ISAKA,PolyClinic,Kliniki,Private,For Profit,Operating
Mtwara,Masasi Dc,121071-5,WAKWETU,Physiotherapy Clinic,Kliniki,Private,For Profit,Operating
