code,name
PS0103057,MEALI PRIMARY SCHOOL
PS0103049,MENDAY PRIMARY SCHOOL
PS0103045,MIDABINI PRIMARY SCHOOL
PS0103064,MIKOCHENI PRIMARY SCHOOL
PS0103096,MOHEDAGEW PRIMARY SCHOOL
PS0103102,MURUS PRIMARY SCHOOL
PS0103121,NGORONGORO HERITAGE PRIMARY SCHOOL
PS0103046,NJIAPANDA PRIMARY SCHOOL
PS0103089,NJORO PRIMARY SCHOOL
PS0103037,OLDEANI PRIMARY SCHOOL
PS0103038,QANGDEND PRIMARY SCHOOL
PS0103039,QARU PRIMARY SCHOOL
PS0103062,QARU SARAMAY PRIMARY SCHOOL
PS0103050,QARULAMBO PRIMARY SCHOOL
PS0103040,QURUS PRIMARY SCHOOL
PS0103041,RHOTIA PRIMARY SCHOOL
PS0103082,SABASABA PRIMARY SCHOOL
PS0103061,SHANGIT PRIMARY SCHOOL
PS0103079,SHAURIAWAKI PRIMARY SCHOOL
PS0103117,SIMBA MILIMA PRIMARY SCHOOL
PS0103044,SLAHHAMO PRIMARY SCHOOL
PS0103042,SUMAWE PRIMARY SCHOOL
PS0103112,TIDIVI PRIMARY SCHOOL
PS0103043,TLOMA PRIMARY SCHOOL
PS0103090,TUMAINI JUNIOR  PRIMARY SCHOOL
PS0103128,TUMAINI TX PRIMARY SCHOOL
PS0103071,UMBANG'W PRIMARY SCHOOL
PS0103076,UMOJA PRIMARY SCHOOL
PS0103106,YAMAWEEGA PRIMARY SCHOOL
PS0104031,ABERNATHY PRIMARY SCHOOL
PS0104036,BUGURUNI PRIMARY SCHOOL
PS0104001,ELANG'ATADAPASH PRIMARY SCHOOL
PS0104002,ELERAI PRIMARY SCHOOL
PS0104029,EMURUTOTO PRIMARY SCHOOL
PS0104059,ENDIRIMA PRIMARY SCHOOL
PS0104003,ENGARENAIBOR PRIMARY SCHOOL
PS0104004,ENGIKARETI PRIMARY SCHOOL
PS0104062,ENGONGOSUNYAI PRIMARY SCHOOL
PS0104023,EORENDEKE PRIMARY SCHOOL
