code,name
S.0405,BIHARAMULO SECONDARY SCHOOL
S.0406,KASHOZI SECONDARY SCHOOL
S.0407,MUGEZA SECONDARY SCHOOL
S.0409,MORINGE SOKOINE SECONDARY SCHOOL
S.0414,IAMBI SECONDARY SCHOOL
S.0417,MWAKALELI SECONDARY SCHOOL
S.0418,LUTENGANO SECONDARY SCHOOL
S.0419,CHOME SECONDARY SCHOOL
S.0420,CHANJALE SEMINARY
S.0426,WANGING'OMBE SECONDARY SCHOOL
S.0427,MAKAMBAKO SECONDARY SCHOOL
S.0428,MPECHI SECONDARY SCHOOL
S.0429,LUPEMBE SECONDARY SCHOOL
S.0430,UWEMBA SECONDARY SCHOOL
S.0431,MTWANGO SECONDARY SCHOOL
S.0432,JABAL-HIRA MUSLIM JUNIOR SEMINARY
S.0435,BISHOP MOSHI SECONDARY SCHOOL
S.0436,KAFULE SECONDARY SCHOOL
S.0439,BUPANDAGILA ADVENTIST SECONDARY SCHOOL
S.0441,KILWA SECONDARY SCHOOL
S.0442,BUHANGIJA SECONDARY SCHOOL
S.0443,META SECONDARY SCHOOL
S.0444,ITAMBA SECONDARY SCHOOL
S.0445,MWEMBETOGWA SECONDARY SCHOOL
S.0446,MGOLOLO SECONDARY SCHOOL
S.0447,MDABULO SECONDARY SCHOOL
S.0448,SADANI SECONDARY SCHOOL
S.0449,J.J. MUNGAI SECONDARY SCHOOL
S.0450,USOKE SECONDARY SCHOOL
S.0451,ENDAROFTA SECONDARY SCHOOL
S.0452,MADUNGA SECONDARY SCHOOL
S.0453,DONGOBESH SECONDARY SCHOOL
S.0454,ST. JOSEPH NGARENARO SECONDARY SCHOOL
S.0455,TWEYAMBE SECONDARY SCHOOL
S.0456,KINANGO SECONDARY SCHOOL
S.0457,IGAWILO SECONDARY SCHOOL
S.0459,NATIRO SECONDARY SCHOOL
S.0460,IRAMBO SECONDARY SCHOOL
S.0461,JOHN PAUL II KAHAMA SECONDARY SCHOOL
S.0463,NGOREME SECONDARY SCHOOL
S.0464,KILOMBERO SECONDARY SCHOOL
S.0465,JAMHURI SECONDARY SCHOOL
S.0468,KIRIKI SECONDARY SCHOOL
S.0471,MBOZI SECONDARY SCHOOL
S.0472,IPINDA SECONDARY SCHOOL
S.0473,KANYIGO SECONDARY SCHOOL
S.0474,KISOMACHI SECONDARY SCHOOL
S.0475,KIDIA SECONDARY SCHOOL
S.0476,MWANGAZA SECONDARY SCHOOL
S.0477,CHIMALA SECONDARY SCHOOL
S.0478,KIPOKE SECONDARY SCHOOL
S.0479,NRONGA SECONDARY SCHOOL
S.0480,NSOO SECONDARY SCHOOL
S.0482,ILUHYA SECONDARY SCHOOL
S.0484,MKINGA SECONDARY SCHOOL
S.0485,MAJENGO SECONDARY SCHOOL
S.0486,UOMBONI SECONDARY SCHOOL
S.0487,MADUNDA SECONDARY SCHOOL
S.0488,RUTABO SECONDARY SCHOOL
S.0489,SUJI SECONDARY SCHOOL
S.0490,SHEMSANGA SECONDARY SCHOOL
S.0491,ST.IGNAS BOYS SECONDARY SCHOOL
S.0492,KISHUMUNDU SECONDARY SCHOOL
S.0493,AL-HARAMAIN ISLAMIC SEMINARY
S.0496,JITEGEMEE SECONDARY SCHOOL
S.0499,OLALENI SECONDARY SCHOOL
S.0500,WANIKE SECONDARY SCHOOL
S.0503,LYAKIRIMU SECONDARY SCHOOL
S.0504,MRIKE SECONDARY SCHOOL
S.0506,UNGWASI SECONDARY SCHOOL
S.0507,ITENGULE SECONDARY SCHOOL
S.0508,MLAMA SECONDARY SCHOOL
S.0509,UCHIRA SECONDARY SCHOOL
S.0510,HOROMBO SECONDARY SCHOOL
S.0511,HANDENI SECONDARY SCHOOL
S.0513,MIHAYO SECONDARY SCHOOL
S.0514,UROKI SECONDARY SCHOOL
S.0515,ILULA SECONDARY SCHOOL
S.0516,MOMBO SECONDARY SCHOOL
S.0517,KILI SECONDARY SCHOOL
S.0518,KANAWA SECONDARY SCHOOL
S.0519,LALAGO SECONDARY SCHOOL
S.0520,BUYANGO SECONDARY SCHOOL
S.0521,MATOMBO SECONDARY SCHOOL
S.0523,NAMTUMBO SECONDARY SCHOOL
S.0524,RUJEWA SECONDARY SCHOOL
S.0525,MKONOWAMARA SECONDARY SCHOOL
S.0526,MRINGA SECONDARY SCHOOL
S.0527,ULAYASI SECONDARY SCHOOL
S.0528,SABA SABA SECONDARY SCHOOL
S.0531,RUAHA SECONDARY SCHOOL
S.0533,SARWATT SECONDARY SCHOOL
S.0534,ST. ANTHONY'S SECONDARY SCHOOL
S.0535,MAKOGA SECONDARY SCHOOL
S.0536,KINDOROKO SECONDARY SCHOOL
S.0537,ST. PAUL'S LIULI SECONDARY SCHOOL
S.0538,VWAWA SECONDARY SCHOOL
S.0539,MAGU SECONDARY SCHOOL
S.0540,MAPOSENI SECONDARY SCHOOL
S.0541,MARAMBA SECONDARY SCHOOL
S.0542,OLDADAI SECONDARY SCHOOL
S.0543,MANEROMANGO SECONDARY SCHOOL
S.0544,MKUU SECONDARY SCHOOL
S.0545,KIAGATA SECONDARY SCHOOL
S.0546,PAMBA SECONDARY SCHOOL
S.0547,MAZWI SECONDARY SCHOOL
S.0548,SHAMBALAI SECONDARY SCHOOL
S.0549,LUGOBA SECONDARY SCHOOL
S.0550,BUGENE SECONDARY SCHOOL
S.0551,NACHINGWEA SECONDARY SCHOOL
S.0552,MAGOTO SECONDARY SCHOOL
S.0553,NEWALA SECONDARY SCHOOL
S.0554,NGUDU SECONDARY SCHOOL
S.0555,BUNGU SECONDARY SCHOOL
S.0556,MAKONGORO SECONDARY SCHOOL
S.0557,NARUMU SECONDARY SCHOOL
S.0558,MWANGA SECONDARY SCHOOL
S.0559,BWABUKI SECONDARY SCHOOL
S.0560,KASULU SECONDARY SCHOOL
S.0561,MONTFORT SECONDARY SCHOOL
S.0562,USSERI SECONDARY SCHOOL
S.0564,BUSWELU SECONDARY SCHOOL
S.0565,BWASI SECONDARY SCHOOL
S.0577,AL-HIKMA GIRLS' SECONDARY SCHOOL
S.0578,TAQWA SECONDARY SCHOOL
S.0579,KATUNGURU SECONDARY SCHOOL
S.0580,IGOWOLE SECONDARY SCHOOL
S.0581,ILEJE SECONDARY SCHOOL
S.0583,MAZINYUNGU SECONDARY SCHOOL
S.0584,LWANDAI SECONDARY SCHOOL
S.0585,MUNANILA SECONDARY SCHOOL
S.0586,KAISHO SECONDARY SCHOOL
S.0588,CHUMVI WAZAZI SECONDARY SCHOOL
S.0589,NYABIHORE SECONDARY SCHOOL
S.0590,WILIMA SECONDARY SCHOOL
S.0591,RUANDA SECONDARY SCHOOL
S.0592,LUNDO DAY SECONDARY SCHOOL
S.0593,HAGATI SECONDARY SCHOOL
S.0594,FRANKWESTON SECONDARY SCHOOL
S.0595,RUVUMA SECONDARY SCHOOL
S.0596,LIWALE DAY SECONDARY SCHOOL
S.0597,KIPATIMU SECONDARY SCHOOL
S.0598,MTAMA SECONDARY SCHOOL
S.0599,MNERO SECONDARY SCHOOL
S.0600,BUNDA SECONDARY SCHOOL
S.0601,SERENGETI DAY SECONDARY SCHOOL
S.0602,MANDA SECONDARY SCHOOL
S.0603,KWAPAKACHA SECONDARY SCHOOL
S.0604,KIBAKWE SECONDARY SCHOOL
S.0605,UHURU SECONDARY SCHOOL
S.0606,ZUNZULI SECONDARY SCHOOL
S.0607,LULUMBA SECONDARY SCHOOL
S.0608,NANYAMBA SECONDARY SCHOOL
S.0609,MATAI SECONDARY SCHOOL
S.0610,NKASI SECONDARY SCHOOL
S.0611,KABANGA SECONDARY SCHOOL
S.0612,KAGANGO SECONDARY SCHOOL
